document_id,After Lemmatization,sentiment
234,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
235,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
236,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
237,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
238,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
239,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
240,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
241,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
242,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
243,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
244,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
245,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
246,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
247,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
248,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
249,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
250,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
251,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
252,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
253,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
254,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
255,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
256,  mind smallest phone left prefer smaller size receiv  phone upgrad horrid even pay littl extra get phone,Neutral
257,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
258,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
259,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
260,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
261,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
262,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
263,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
264,  mind smallest phone left prefer smaller size receiv  phone upgrad horrid even pay littl extra get phone,Neutral
265,batteri  still good n everyth work reli good  recommend first scare cut bad review good one reli good didn expect tini also mine came seen protect catch noth like mmm,Positive
266,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
267,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
268,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
269,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
270,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
271,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
272,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
273,  mind smallest phone left prefer smaller size receiv  phone upgrad horrid even pay littl extra get phone,Neutral
274,batteri  still good n everyth work reli good  recommend first scare cut bad review good one reli good didn expect tini also mine came seen protect catch noth like mmm,Positive
275,want give time use phone write review everyth great far batteri longlast without charg screen blemish face recognit work perfectli,Positive
276,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
277,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
278,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
279,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
280,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
281,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
282,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
283,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
284,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
285,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
286,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
287,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
288,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
289,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
290,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
291,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
292,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
293,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
294,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
295,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
296,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
297,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
298,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
299,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
300,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
301,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
302,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
303,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
304,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
305,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
306,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
307,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
308,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
309,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
310,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
311,  mind smallest phone left prefer smaller size receiv  phone upgrad horrid even pay littl extra get phone,Neutral
312,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
313,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
314,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
315,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
316,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
317,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
318,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
319,  mind smallest phone left prefer smaller size receiv  phone upgrad horrid even pay littl extra get phone,Neutral
320,batteri  still good n everyth work reli good  recommend first scare cut bad review good one reli good didn expect tini also mine came seen protect catch noth like mmm,Positive
321,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
322,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
323,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
324,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
325,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
326,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
327,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
328,  mind smallest phone left prefer smaller size receiv  phone upgrad horrid even pay littl extra get phone,Neutral
329,batteri  still good n everyth work reli good  recommend first scare cut bad review good one reli good didn expect tini also mine came seen protect catch noth like mmm,Positive
330,want give time use phone write review everyth great far batteri longlast without charg screen blemish face recognit work perfectli,Positive
331,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
332,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
333,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
334,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
335,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
336,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
337,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
338,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
339,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
340,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
341,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
342,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
343,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
344,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
345,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
346,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
347,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
348,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
349,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
350,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
351,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
352,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
353,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
354,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
355,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
356,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
357,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
